=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,688,004,840",3.38%,7.52%,🔥 資金暴衝
Sui,"$989,080,746",2.65%,6.84%,🚀 加速流入
Base,"$4,726,871,630",1.75%,6.78%,🚀 加速流入
Bitcoin,"$7,097,555,957",1.50%,3.99%,🚀 加速流入
OP Mainnet,"$304,782,210",1.50%,3.83%,🚀 加速流入
Solana,"$8,733,640,837",1.47%,4.41%,🚀 加速流入
Avalanche,"$1,329,838,400",1.41%,4.85%,🚀 加速流入
Aptos,"$450,165,935",1.39%,2.44%,🚀 加速流入
Cronos,"$385,903,990",1.38%,4.47%,🚀 加速流入
Arbitrum,"$3,052,206,506",0.88%,7.66%,🟢 穩健增長
Hyperliquid L1,"$1,424,757,785",0.81%,-3.65%,🟢 穩健增長
Vaulta,"$387,592,910",0.63%,2.32%,🚀 加速流入
Ethereum,"$72,681,344,644",0.62%,5.99%,🟢 穩健增長
BSC,"$6,774,629,553",0.43%,5.57%,🚀 加速流入
Polygon,"$1,093,406,066",-0.44%,-6.35%,🚀 加速流入

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
aptos,XBTC,$91386.240000,1.88%,"$13,220","$193,669",0.07,https://dexscreener.com/aptos/0xd8a280a4e308f72547a02a48b2ec0cb661dc72ed10565f116a6c7059ada9aa6e-0xa-0x81214a80d82035a190fcb76b6ff3c0145161c3a9f33d137f2bbaee4cfec8a387
aptos,AMI,$0.010330,0.19%,"$6,825","$142,568",0.05,https://dexscreener.com/aptos/0x4a34ac7b916cc941530a99dfc0de27843bf20eba5e580f5c93d0a21e3bcb3464
aptos,GUI,$0.000001,0.64%,"$3,395","$75,240",0.05,https://dexscreener.com/aptos/pcs-1137
aptos,KGEN,$0.208800,-1.55%,"$2,824","$138,688",0.02,https://dexscreener.com/aptos/0x7f04db632793b77d784ce9518248f8956dcd6f5bba74a73d17843a73e0ec9010-0xa-0x2a8227993a4e38537a57caefe5e7e9a51327bf6cd732c1f56648f26f68304ebc
aptos,STAPT,$2.240000,3.41%,$531,"$63,230",0.01,https://dexscreener.com/aptos/liquidswapv0p5-2044
cronos,CROID,$0.009996,3.35%,"$2,191","$132,787",0.02,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
ethereum,ETHEREUM,$0.000151,1.80%,$148,"$104,533",0.00,https://dexscreener.com/ethereum/0x5f538e4a8d8c833aa9e7a926a99a3b415bb029ef
bsc,BSC,$0.000128,6.72%,"$7,378","$68,484",0.11,https://dexscreener.com/bsc/0xff0a8df8c4a0332e28a4c94ebb3f633944b08a94
polygon,AAVE,$161.920000,0.32%,"$23,274","$97,759",0.24,https://dexscreener.com/polygon/0xa9077cdb3d13f45b8b9d87c43e11bce0e73d8631
polygon,A3,$0.137300,1.71%,"$45,121","$570,538",0.08,https://dexscreener.com/polygon/0xab9a56db85acf736980958c2a369ec4bbbf83072
polygon,TTAJ,$0.002704,1.43%,"$7,539","$136,358",0.06,https://dexscreener.com/polygon/0xa6a2d598365cd758ba0a72cd95b7f8805248a5d5
polygon,BET,$0.000293,4.10%,"$11,343","$285,312",0.04,https://dexscreener.com/polygon/0xda67d7c01c4c8f757c105c0890d94ac489952cd5
polygon,ONLIVE,$0.000229,1.05%,"$1,473","$56,607",0.03,https://dexscreener.com/polygon/0xb2c60f199f2f0ae7ef7b7923fffa24b181e7e187
